event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
908,55.0,Japan,away, 83' ,Goal, Takuma Asano , Ko Itakura 
919,57.0,Australia,away, 9' ,Goal, Craig Goodwin , Mathew Leckie 
921,57.0,France,home, 27' ,Goal, Adrien Rabiot , Theo Hernandez 
922,57.0,France,home, 32' ,Goal, Olivier Giroud , Adrien Rabiot 
925,57.0,France,home, 68' ,Goal, Kylian Mbappé , Ousmane Dembélé 
926,57.0,France,home, 71' ,Goal, Olivier Giroud , Kylian Mbappé 
959,60.0,Argentina,home, 10' ,Penalty, Lionel Messi , Penalty 
962,60.0,Saudi Arabia,away, 48' ,Goal, Saleh Al-Shehri , Firas Al-Buraikan 
963,60.0,Saudi Arabia,away, 53' ,Goal, Salem Al-Dawsari ,
980,61.0,USA,home, 36' ,Goal, Tim Weah , Christian Pulisic 
990,61.0,Wales,away, 82' ,Penalty, Gareth Bale , Penalty 
1003,62.0,Netherlands,away, 84' ,Goal, Cody Gakpo , Frenkie de Jong 
1007,62.0,Netherlands,away, 99' ,Goal, Davy Klaassen ,
1010,63.0,England,home, 35' ,Goal, Jude Bellingham , Luke Shaw 
1011,63.0,England,home, 43' ,Goal, Bukayo Saka , Harry Maguire 
1012,63.0,England,home, 46' ,Goal, Raheem Sterling , Harry Kane 
1017,63.0,England,home, 62' ,Goal, Bukayo Saka , Raheem Sterling 
1019,63.0,Iran,away, 65' ,Goal, Mehdi Taremi , Ali Gholizadeh 
1024,63.0,England,home, 71' ,Goal, Marcus Rashford , Harry Kane 
1027,63.0,England,home, 90' ,Goal, Jack Grealish , Callum Wilson 
1028,63.0,Iran,away, 103' ,Penalty, Mehdi Taremi , Penalty 
1031,64.0,Ecuador,away, 16' ,Penalty, Enner Valencia , Penalty 
1034,64.0,Ecuador,away, 31' ,Goal, Enner Valencia , Ángelo Preciado 
